class_id,epoch_id,topic_id,topic_uid,topic_number,display_title,quiz_link,notebook_link,doc_link,doc_links,sort_order,status
9,all,1,9-1,1,România în Primul Război Mondial,https://forms.gle/A4NkEdzADyPiMTUTA,https://notebooklm.google.com/notebook/d6132450-0e9d-4cea-bd48-a5f91565cd84,https://docs.google.com/document/d/1e0eS6MCoM92cFC56URtOWjjWzqGb445r8nvxkzHHuZ8/edit?usp=sharing,['https://docs.google.com/document/d/1e0eS6MCoM92cFC56URtOWjjWzqGb445r8nvxkzHHuZ8/edit?usp=sharing'],1,ready
9,all,2,9-2,2,Mișcarea națională a românilor din Basarabia și teritoriile din stânga Nistrului (1917-1918),https://forms.gle/DCQhEGK8JPLhGwcB9,https://notebooklm.google.com/notebook/68cdb58f-73d3-4cd9-8692-c30d58c5a72a,https://docs.google.com/document/d/163utb7iCiDY3iMRYBUzdlvf7fAE78x13WUu232EA_O0/edit?usp=sharing,['https://docs.google.com/document/d/163utb7iCiDY3iMRYBUzdlvf7fAE78x13WUu232EA_O0/edit?usp=sharing'],2,ready
9,all,3,9-3,3,Formarea Statului Național Unitar Român. Recunoașterea Marii Uniri de la 1918,https://forms.gle/sBoJE6UyTXGyghQE8,https://notebooklm.google.com/notebook/0363f358-7557-4471-83bd-293917c8fba9,https://docs.google.com/document/d/1nghy6HD1osAHCOp5Kdsoql2o4Xvw5lhNI72e5HmWMho/edit?usp=sharing,['https://docs.google.com/document/d/1nghy6HD1osAHCOp5Kdsoql2o4Xvw5lhNI72e5HmWMho/edit?usp=sharing'],3,ready
9,all,4,9-4,4,Conferința de Pace de la Paris și Noua Ordine Internațională,https://forms.gle/Z5Xb3vd15sGfeSpT7,https://notebooklm.google.com/notebook/f9232623-6376-484b-b5ea-f68653ce30e7,https://docs.google.com/document/d/1fLpsWAM9b9VOoOzIAKkh7rG9Q63-RT5ScMW7iHm_suE/edit?usp=sharing,['https://docs.google.com/document/d/1fLpsWAM9b9VOoOzIAKkh7rG9Q63-RT5ScMW7iHm_suE/edit?usp=sharing'],4,ready
9,all,5,9-5,5,Statele Unite ale Americii,https://forms.gle/X9qqGSkfZjkx2QAD8,https://notebooklm.google.com/notebook/d066a62b-5dce-4ee7-b82a-f3661d0d572c,https://docs.google.com/document/d/1yN39Ui-jFX3UYecZiC7iqRdbk6X8m4wbqqxqjNmYhpM/edit?usp=sharing,['https://docs.google.com/document/d/1yN39Ui-jFX3UYecZiC7iqRdbk6X8m4wbqqxqjNmYhpM/edit?usp=sharing'],5,ready
9,all,6,9-6,6,"Statele Europei de Vest (Marea Britanie, Franța, Germania, Italia, Spania)",https://forms.gle/Dmc1fqNsPU4QfkJy6,https://notebooklm.google.com/notebook/ea3be1ed-3d3d-473f-a462-c68c4fa2d53e,https://docs.google.com/document/d/15Xka6XLlhkv41M-rNZYScMzlaROzSK89EuFXvJof5WA/edit?usp=sharing,['https://docs.google.com/document/d/15Xka6XLlhkv41M-rNZYScMzlaROzSK89EuFXvJof5WA/edit?usp=sharing'],6,ready
9,all,7,9-7,7,România în perioada interbelică,https://forms.gle/ADWLPXWjpHRRHpcd7,https://notebooklm.google.com/notebook/e3181c6e-e74f-4e16-93fc-ebe88eea8bec,https://docs.google.com/document/d/1eCD4Kk7lfnXnfqEOXbkMvjCwE6J482pdpNQ89nN_SPM/edit?usp=sharing,['https://docs.google.com/document/d/1eCD4Kk7lfnXnfqEOXbkMvjCwE6J482pdpNQ89nN_SPM/edit?usp=sharing'],7,ready
9,all,8,9-8,8,Basarabia în cadrul României Mari (1918-1940),https://forms.gle/TF5cSbwxAGRBVu5p7,https://notebooklm.google.com/notebook/d2fe5d78-702d-4743-9191-e060c1c3398d,,[],8,ready
9,all,9,9-9,9,RASSM (1924-1940) și politica expansionistă a URSS,https://forms.gle/E2dhHodX6rmMZ2Ux7,https://notebooklm.google.com/notebook/c665c924-9d15-4db2-aa24-d8a7a69ffa78,https://docs.google.com/document/d/1MxTtv3GtWk4S_Oc4xZjFSetYKdNkwUAi25yY4MmWdHM/edit?usp=sharing,['https://docs.google.com/document/d/1MxTtv3GtWk4S_Oc4xZjFSetYKdNkwUAi25yY4MmWdHM/edit?usp=sharing'],9,ready
9,all,10,9-10,10,Cultura și știința universală și românească în perioada interbelică,https://forms.gle/UJ4HQPNQ6kPuheJJA,https://notebooklm.google.com/notebook/d7caaffb-cea9-464b-82fa-4f4931429385,https://docs.google.com/document/d/1_KrzGzYXZaKcoQCUE4lw83DR4G0JqQ4_g_s6QBX3Yp8/edit?usp=sharing,['https://docs.google.com/document/d/1_KrzGzYXZaKcoQCUE4lw83DR4G0JqQ4_g_s6QBX3Yp8/edit?usp=sharing'],10,ready
9,all,11,9-11,11,Alianțe și tratate politico-militare în perioada interbelică,https://forms.gle/AEU6syZhBZsoKAxf9,https://notebooklm.google.com/notebook/21c7a489-eb01-4015-afeb-a6511b60444c,https://docs.google.com/document/d/1q-kGdHqYj_yObIJfEeINshH_DKzkG2ZUmiRK3JzdAWE/edit?usp=sharing,['https://docs.google.com/document/d/1q-kGdHqYj_yObIJfEeINshH_DKzkG2ZUmiRK3JzdAWE/edit?usp=sharing'],11,ready
